Time (s),Target BPM
0.00,83.8
1.00,87.8
2.00,90.2
3.00,91.4
4.00,89.8
5.00,90.1
6.00,86.0
7.00,83.7
8.00,80.4
9.00,75.9
10.00,87.0
11.00,79.8
12.00,84.9
13.00,88.7
14.00,83.1
15.00,84.3
16.00,79.2
17.00,74.8
18.00,76.5
19.00,80.3
20.00,84.3
21.00,84.8
22.00,84.7
23.00,84.5
24.00,87.8
25.00,91.4
26.00,92.8
27.00,86.7
28.00,77.2
29.00,66.5
30.00,67.8
31.00,73.5
32.00,88.5
33.00,91.8
34.00,91.0
35.00,98.0
36.00,91.2
37.00,85.2
38.00,80.6
39.00,87.0
40.00,93.2
41.00,92.2
42.00,78.3
43.00,68.8
44.00,65.9
45.00,72.1
46.00,79.1
47.00,80.7
48.00,81.6
49.00,88.4
50.00,83.4
51.00,82.2
52.00,77.0
53.00,82.6
54.00,78.4
55.00,74.6
56.00,73.4
57.00,80.0
58.00,86.4
59.00,90.0
60.00,89.5
61.00,71.1
62.00,72.6
63.00,70.1
64.00,86.2
65.00,85.4
66.00,90.0
67.00,89.1
68.00,86.2
69.00,85.9
70.00,87.4
71.00,80.9
72.00,85.7
73.00,75.7
74.00,70.7
75.00,84.2
76.00,80.1
77.00,86.4
78.00,91.6
79.00,91.0
80.00,88.3
81.00,87.5
82.00,86.2
83.00,86.2
84.00,86.0
85.00,75.8
86.00,69.6
87.00,67.8
88.00,77.8
89.00,86.8
90.00,93.9
91.00,85.2
92.00,80.7
93.00,75.1
94.00,79.3
95.00,83.5
96.00,89.6
97.00,90.7
98.00,80.8
99.00,75.5
100.00,74.2
101.00,81.0
102.00,86.6
103.00,83.7
104.00,82.6
105.00,78.8
106.00,78.4
107.00,84.6
108.00,90.0
109.00,90.2
110.00,87.9
111.00,85.1
112.00,85.5
113.00,87.9
114.00,86.8
115.00,86.1
116.00,82.9
117.00,80.0
118.00,82.9
119.00,86.3
120.00,89.7
121.00,92.8
122.00,94.6
123.00,85.2
124.00,82.8
125.00,78.6
126.00,77.4
127.00,82.0
128.00,85.7
129.00,90.5
130.00,96.2
131.00,96.4
132.00,97.3
133.00,94.9
134.00,89.2
135.00,86.2
136.00,93.4
137.00,104.6
138.00,102.4
139.00,97.3
140.00,91.6
141.00,90.7
142.00,92.3
143.00,88.5
144.00,80.1
145.00,75.0
146.00,73.7
147.00,78.7
148.00,85.5
149.00,91.5
150.00,87.6
151.00,84.0
152.00,80.1
153.00,76.7
154.00,81.0
155.00,83.9
156.00,87.2
157.00,84.5
158.00,78.9
159.00,77.2
160.00,80.2
161.00,86.7
162.00,91.9
163.00,94.0
164.00,94.4
165.00,90.3
166.00,80.0
167.00,74.5
168.00,74.6
169.00,81.4
170.00,86.4
171.00,87.0
172.00,78.5
173.00,85.4
174.00,78.6
175.00,79.5
176.00,84.7
177.00,80.1
